City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,-24.8667,113.6333,60.87,82,0,17.27
1,Ejido,VE,8.5514,-71.2375,75.4,80,100,3.47
2,Mar Del Plata,AR,-38.0023,-57.5575,55.42,58,0,8.01
3,Ushuaia,AR,-54.8,-68.3,49.62,46,0,4.61
4,Rikitea,PF,-23.1203,-134.9692,73.65,76,46,8.52
5,La Romana,DO,18.4273,-68.9728,88.16,74,40,6.91
6,Mount Gambier,AU,-37.8333,140.7667,42.71,93,100,9.22
7,Coruripe,BR,-10.1256,-36.1756,75.61,77,94,8.08
8,Husavik,IS,66.0449,-17.3389,42.71,96,100,26.93
9,Sola,VU,-13.8833,167.55,80.55,77,29,18.37
10,Cape Town,ZA,-33.9258,18.4232,57.11,85,40,14.97
11,Jamestown,US,42.097,-79.2353,78.12,64,1,0.0
12,Saint George,US,37.1041,-113.5841,81.07,39,20,3.0
13,Longyearbyen,SJ,78.2186,15.6401,22.84,74,0,5.75
14,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,75,21.85
15,Ankang,CN,32.68,109.0172,57.45,95,100,2.77
16,Novobirilyussy,RU,56.9514,90.6661,34.56,98,100,8.75
17,Yellowknife,CA,62.456,-114.3525,39.42,99,90,1.01
18,Kimbe,PG,-5.5502,150.1429,76.06,85,80,3.6
19,Talaya,RU,61.3833,152.75,8.78,90,100,1.34
20,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,23.02
21,Balabac,PH,7.9868,117.0645,80.78,83,70,10.92
22,Vestmannaeyjar,IS,63.4427,-20.2734,50.34,89,100,24.27
23,Lorengau,PG,-2.0226,147.2712,79.93,80,55,3.24
24,Atuona,PF,-9.8,-139.0333,78.24,76,11,15.39
25,Kaeo,NZ,-35.1,173.7833,61.32,92,62,6.93
26,Albany,US,42.6001,-73.9662,72.99,73,0,1.79
27,Bredasdorp,ZA,-34.5322,20.0403,52.92,94,0,2.3
28,Avarua,CK,-21.2078,-159.775,78.85,69,20,10.36
29,Gizo,SB,-8.103,156.8419,82.89,77,42,10.38
30,Mataura,NZ,-46.1927,168.8643,52.48,63,99,3.33
31,Hermanus,ZA,-34.4187,19.2345,55.9,74,0,9.62
32,Nome,US,64.5011,-165.4064,35.67,80,1,0.0
33,Marrakesh,MA,31.6315,-8.0083,75.27,41,0,9.22
34,Port Alfred,ZA,-33.5906,26.891,67.71,88,100,20.07
35,Norman Wells,CA,65.282,-126.8329,26.64,100,75,8.05
36,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,84,8.99
37,Zhob,PK,31.3411,69.4481,71.64,13,0,5.21
38,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,80,40,2.24
39,Santa Maria,BR,-29.6842,-53.8069,65.5,52,0,9.22
40,Dezhou,CN,37.4486,116.2925,53.89,80,100,4.88
41,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,75,20,9.22
42,Busselton,AU,-33.65,115.3333,49.08,71,65,8.25
43,Cabedelo,BR,-6.9811,-34.8339,81.27,78,94,13.98
44,Katsuura,JP,35.1333,140.3,72.19,82,62,12.75
45,Nouadhibou,MR,20.931,-17.0347,73.38,73,100,10.36
46,Tilichiki,RU,60.4667,166.1,27.32,60,90,5.95
47,New Norfolk,AU,-42.7826,147.0587,52.92,75,94,3.42
48,Kaitangata,NZ,-46.2817,169.8464,56.66,65,16,2.77
49,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,8.05
50,Khatanga,RU,71.9667,102.5,17.65,90,100,8.28
51,Luanda,AO,-8.8368,13.2343,73.67,82,74,3.91
52,Cherskiy,RU,68.75,161.3,-1.46,100,75,4.21
53,Faya,SA,18.3851,42.4509,69.91,50,10,8.86
54,Saskylakh,RU,71.9167,114.0833,1.6,98,27,4.9
55,Castro,BR,-24.7911,-50.0119,61.97,98,100,7.38
56,Klaksvik,FO,62.2266,-6.589,52.72,92,91,25.03
57,Belawan,ID,3.7755,98.6832,77.29,90,100,3.71
58,Richards Bay,ZA,-28.783,32.0377,68.14,81,100,17.87
59,Pevek,RU,69.7008,170.3133,23.86,82,97,7.43
60,Teknaf,BD,20.8624,92.3058,78.64,90,89,3.76
61,Lethem,GY,3.3803,-59.7968,87.28,58,98,5.75
62,Vanderhoof,CA,54.0166,-124.0198,44.98,56,100,5.37
63,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,90,5.75
64,Jilib,SO,0.4883,42.7854,75.49,79,53,11.63
65,Fortuna,US,40.5982,-124.1573,68.47,64,100,5.99
66,Iqaluit,CA,63.7506,-68.5145,40.73,75,75,11.01
67,Ampanihy,MG,-24.7,44.75,61.63,67,0,12.73
68,Severo-Kurilsk,RU,50.6789,156.125,44.94,77,26,15.73
69,East London,ZA,-33.0153,27.9116,67.71,89,100,11.1
70,Victoria,HK,22.2855,114.1577,78.78,94,100,13.0
71,Sao Joaquim Da Barra,BR,-20.5814,-47.8547,70.92,55,97,7.56
72,Hilo,US,19.7297,-155.09,80.28,76,90,1.99
73,Athabasca,CA,54.7169,-113.2854,51.49,39,6,11.59
74,Vidim,RU,56.4088,103.1106,32.05,97,100,7.96
75,Beringovskiy,RU,63.05,179.3167,32.22,96,100,5.82
76,Dourbali,TD,11.8091,15.8632,86.74,21,7,3.8
